Index,ContributorID,Contributor_PersonID,PersonID,Year,Age,Height,Weight,EducationLevel,NumberOfLanguages,LikeVollyball,LikeTableTennis,FavouriteMovie,Province,HappinessLevel
19,S4,P4,S4P4,2023,19,176,150.7876,Undergraduate Degree (UG),3,FALSE,TRUE,Avengers End Game,Shanghai,6
20,S4,P5,S4P5,2023,20,178,136.7876,Undergraduate Degree (UG),2,FALSE,FALSE,Pulp Fiction,Shanghai,5
21,S5,P1,S5P1,2023,16,166.5,58,No School,2,FALSE,TRUE,Frozen,Fujian,5
22,S5,P2,S5P2,2023,18,156,48.7,High School,3,FALSE,FALSE,The Grand Budapest Hotel,Shanghai,8
23,S5,P3,S5P3,2023,19,165,63,High School,2,FALSE,FALSE,The Sound of Music,Guangdong,9
24,S5,P4,S5P4,2023,19,178,70.5,High School,2,TRUE,TRUE,Coco,Fujian,8
25,S5,P5,S5P5,2023,46,160,65,Undergraduate Degree (UG),2,FALSE,FALSE,Forrest Gump,Fujian,7
26,S6,P1,S6P1,2023,19,180,81,Undergraduate Degree (UG),2,FALSE,TRUE,fight club,Shandong,6
27,S6,P2,S6P2,2023,19,176,73,Undergraduate Degree (UG),2,None,TRUE,Forrest Gump ,Shandong,8
28,S6,P3,S6P3,2023,19,182,64,Undergraduate Degree (UG),2,TRUE,TRUE,Les choristes ,Shandong,7
29,S6,P4,S6P4,2023,19,183,60,Undergraduate Degree (UG),3,None,TRUE,The Godfather,Shandong,9
30,S6,P5,S6P5,2023,55,162,70,Postgraduate/ Master's Degree (PG),2,None,TRUE,Green Book,None,10
31,S7,P1,S7P1,2023,20,165.23,47.37,Undergraduate Degree (UG),2,FALSE,FALSE,slam dunk,Sichuan,6
32,S7,P2,S7P2,2023,19,155.34,47.81,Undergraduate Degree (UG),3,FALSE,TRUE,coco,Chongqing,8
33,S7,P3,S7P3,2023,20,154.04,50.21,Undergraduate Degree (UG),3,FALSE,FALSE,Totoro,Sichuan,3
34,S7,P4,S7P4,2023,19,163.13,48.91,Undergraduate Degree (UG),4,FALSE,FALSE,X-Men,Sichuan,7
35,S7,P5,S7P5,2023,46,168.12,60.05,Undergraduate Degree (UG),2,TRUE,TRUE,farewell my concubine,Sichuan,8
36,S8,P1,S8P1,2023,18,170,63,Undergraduate Degree (UG),2,FALSE,FALSE,avengers,Guangdong,9
37,S8,P2,S8P2,2023,18,175,77,Undergraduate Degree (UG),2,TRUE,FALSE,titanic,Guangdong,8
38,S8,P3,S8P3,2023,19,186,82,Undergraduate Degree (UG),3,FALSE,None,truemen's world,Guangdong,10
39,S8,P4,S8P4,2023,20,180,73,Undergraduate Degree (UG),2,None,TRUE,ironmen,Guangdong,7
40,S8,P5,S8P5,2023,18,175,58,Undergraduate Degree (UG),2,FALSE,FALSE,wolf worriors,Guangdong,9
41,S9,P1,S9P1,2023,43,160,52,Undergraduate Degree (UG),2,TRUE,FALSE,Under the Hawthorn Tree,Shandong,8
42,S9,P2,S9P2,2023,19,165,50,High School,2,TRUE,FALSE,The Thirteen Women of Jinling ,Shandong,8
43,S9,P3,S9P3,2023,19,168,62,High School,2,TRUE,TRUE,Dead Poets Society ,Shandong,3
44,S9,P4,S9P4,2023,18,177,64,High School,2,TRUE,FALSE,Spirited Away ,Shandong,8
45,S9,P5,S9P5,2023,18,168,48.5,High School,2,FALSE,FALSE,The Truman Show,Hubei,5
46,S10,P1,S10P1,2023,18,168,47,Undergraduate Degree (UG),2,FALSE,TRUE,The Notebook,Hebei,6
47,S10,P2,S10P2,2023,20,186,75,Undergraduate Degree (UG),2,FALSE,TRUE,Spider Man,Hebei,9
48,S10,P3,S10P3,2023,20,181,61,Undergraduate Degree (UG),2,FALSE,TRUE,Les choristes,Hebei,3
49,S10,P4,S10P4,2023,18,178,64,High School,2,FALSE,TRUE,Les choristes,Hebei,7
50,S10,P5,S10P5,2023,13,160,55,Some School,2,FALSE,TRUE,Les choristes,Hebei,9
51,S11,P1,S11P1,2023,18,176.23,82.5,Undergraduate Degree (UG),3,None,TRUE,interstellar,Guangdong,5
52,S11,P2,S11P2,2023,18,180.92,73.2,Undergraduate Degree (UG),2,FALSE,FALSE,flipped,Guangdong,9
53,S11,P3,S11P3,2023,18,178.5,65.8,Undergraduate Degree (UG),3,None,TRUE,hachiko,Guangdong,10
54,S11,P4,S11P4,2023,46,160.23,58.2,Some School,1,FALSE,FALSE,IP man,Guangdong,7
