Index,ContributorID,Contributor_PersonID,PersonID,Age,Height,Weight,EducationLevel,NumberOfLanguages,LikeVollyball,LikeTableTennis,FavouriteMovie,Province,HappinessLevel
232,S48,P1,S48P1,19,181.51,72.34,High School,2,FALSE,TRUE,Titanic,Liaoning,7
233,S48,P2,S48P2,45,164.15,65.12,Postgraduate/ Master's Degree (PG),3,FALSE,FALSE,The Shawshank Redemption,Liaoning,8
234,S48,P3,S48P3,47,174.23,60.13,Postgraduate/ Master's Degree (PG),2,TRUE,TRUE,The Avengers,Liaoning,7
235,S48,P4,S48P4,28,180.23,100.56,Undergraduate Degree (UG),2,TRUE,TRUE,The Fast and the Furious,Liaoning,6
236,S48,P5,S48P5,45,175.73,65.87,Undergraduate Degree (UG),4,TRUE,FALSE,Transformers,Liaoning,8
237,S49,P1,S49P1,18,172.25,52,Undergraduate Degree (UG),2,FALSE,FALSE,Titanic,Hunan,8
238,S49,P2,S49P2,18,184.35,65,Undergraduate Degree (UG),2,FALSE,TRUE,The Avengers,Hunan,8
239,S49,P3,S49P3,18,176.45,66,Undergraduate Degree (UG),2,FALSE,TRUE,Iron Man ,Hunan,9
240,S49,P4,S49P4,18,178.55,60,Undergraduate Degree (UG),2,FALSE,FALSE,Thor,Hunan,9
241,S49,P5,S49P5,18,180.65,64,Undergraduate Degree (UG),2,FALSE,TRUE,Spider-Man,Hunan,9
242,S50,P1,S50P1,54,168.5,69.77,Postgraduate/ Master's Degree (PG),2,FALSE,TRUE,Full Metal Jacket,Sichuan,8
243,S50,P2,S50P2,54,163.48,52.45,Postgraduate/ Master's Degree (PG),2,TRUE,TRUE,Scent of a Woman,Sichuan,8
244,S50,P3,S50P3,19,167.55,55.56,Undergraduate Degree (UG),3,TRUE,TRUE,Hacksaw Ridge,Sichuan,9
245,S50,P4,S50P4,24,175.58,72.64,Doctorate degree (PhD),3,TRUE,TRUE,The Fast and the Furious,Sichuan,7
246,S50,P5,S50P5,30,180.78,78.29,Postgraduate/ Master's Degree (PG),2,FALSE,FALSE,Gone with the Wind,Hebei,8
247,S51,P1,S51P1,18,175,68,Undergraduate Degree (UG),3,None,TRUE,Braveheart ,Hubei,7
248,S51,P2,S51P2,18,178,74,Undergraduate Degree (UG),2,FALSE,FALSE,Fast & Furious,Jiangsu,8
249,S51,P3,S51P3,32,165,57,Postgraduate/ Master's Degree (PG),2,TRUE,TRUE,Before Sunrise,Hubei,8
250,S51,P4,S51P4,28,182,82,Postgraduate/ Master's Degree (PG),3,None,TRUE,Rashomon,Guangdong,7
251,S51,P5,S51P5,52,178,78,High School,1,None,TRUE,The Battle at Lake Changjin,Hubei,6
252,S52,P1,S52P1,18,174,60,Undergraduate Degree (UG),3,None,TRUE,The journey of Lingya,Hainan,10
253,S52,P2,S52P2,18,180,75,Undergraduate Degree (UG),3,None,TRUE,Wandering earth,Hainan,7
254,S52,P3,S52P3,18,188,67.5,Undergraduate Degree (UG),3,FALSE,FALSE,Dangle Daddy,Hainan,8
255,S52,P4,S52P4,18,172,62,Undergraduate Degree (UG),3,TRUE,TRUE,The stray cat Bowler,Hainan,8
256,S52,P5,S52P5,19,178,72,Undergraduate Degree (UG),3,TRUE,TRUE,Peppa Pig has a New Year,Hainan,8
257,S53,P1,S53P1,19,172.2,62.5,Undergraduate Degree (UG),2,FALSE,TRUE,Weathering with you,Henan,7
258,S53,P2,S53P2,19,178.5,83.5,Undergraduate Degree (UG),2,FALSE,TRUE,The Legend of 1900,Henan,7
259,S53,P3,S53P3,19,178.3,65.1,Undergraduate Degree (UG),2,FALSE,TRUE,The Truman Show,Henan,8
260,S53,P4,S53P4,19,178.2,60,Undergraduate Degree (UG),2,FALSE,TRUE,Harry Potter,Beijing,9
261,S53,P5,S53P5,19,190.5,89.5,Undergraduate Degree (UG),2,TRUE,TRUE,The Avengers,Beijing,9
262,S54,P1,S54P1,28,175,70.5,Postgraduate/ Master's Degree (PG),3,TRUE,TRUE,Inception,Shanghai,8
263,S54,P2,S54P2,10,135,30,Some School,1,FALSE,TRUE,None,Beijing,7
264,S54,P3,S54P3,45,170,85.5,High School,1,TRUE,TRUE,Nome,Guangdong,7
265,S54,P4,S54P4,22,180,63.5,Some School,2,FALSE,FALSE,Avengers: Endgame,Guangxi,6
266,S54,P5,S54P5,19,167,68,High School,2,TRUE,FALSE,The Dark Knight,Guangdong,10
267,S55,P1,S55P1,17,170,65,Undergraduate Degree (UG),4,TRUE,TRUE,Kung  Fu,Zhejiang,10
268,S55,P2,S55P2,18,182,76,High School,2,None,None,Young and Dangerous,Hainan,5
269,S55,P3,S55P3,23,188,80,Postgraduate/ Master's Degree (PG),4,None,TRUE,The King of Kung Fu,Hainan,4
270,S55,P4,S55P4,16,165,50,High School,2,None,TRUE,Zootopia,None,8
271,S55,P5,S55P5,18,188,90,Undergraduate Degree (UG),4,TRUE,TRUE,Wolf Warriors ,None,10
272,S56,P1,S56P1,32,175,70,High School,2,FALSE,TRUE,The Shawshank Redemption,Shanghai,8
273,S56,P2,S56P2,27,168,55,Postgraduate/ Master's Degree (PG),3,TRUE,TRUE,Forrest Gump,Beijing,9
274,S56,P3,S56P3,40,180,85,High School,1,FALSE,FALSE,The Godfather,Guangdong,6
275,S56,P4,S56P4,22,163,48,Undergraduate Degree (UG),2,TRUE,FALSE,Inception,Sichuan,6
276,S56,P5,S56P5,35,170,62,Doctorate degree (PhD),4,FALSE,TRUE,The Dark Knight,Guangdong,9
277,S57,P1,S57P1,18,196,85,High School,2,FALSE,TRUE,spirited away,Shandong,7
278,S57,P2,S57P2,19,180,66,Undergraduate Degree (UG),2,FALSE,FALSE,spirited away,Shandong,8
279,S57,P3,S57P3,19,168,46,Undergraduate Degree (UG),2,FALSE,FALSE,Hannibal,Hainan,5
280,S57,P4,S57P4,19,182,63,Undergraduate Degree (UG),2,TRUE,FALSE,DUNE,Fujian,8
281,S57,P5,S57P5,19,192,85,Undergraduate Degree (UG),2,TRUE,FALSE,The Avengers,Sichuan,7
282,S58,P1,S58P1,18,168,60,Undergraduate Degree (UG),2,FALSE,TRUE,Soul,Guangdong,8
283,S58,P2,S58P2,19,160,49,Undergraduate Degree (UG),2,None,TRUE,The Truman Show,Jiangxi,8
284,S58,P3,S58P3,18,180,60,Undergraduate Degree (UG),2,None,TRUE,Interstellar,Guangdong,10
285,S58,P4,S58P4,19,177,64,Undergraduate Degree (UG),2,FALSE,TRUE,Ready Player One,Guangdong,10
286,S58,P5,S58P5,18,158,48,Undergraduate Degree (UG),2,TRUE,TRUE,The Little Mermaid,Guangdong,7
287,S59,P1,S59P1,35,177.2,75.4,Postgraduate/ Master's Degree (PG),7111,FALSE,TRUE,Star Wars 3,Chongqing,8
288,S59,P2,S59P2,19,175.5,65.2,Undergraduate Degree (UG),6455,FALSE,TRUE,The Shawshank Redemption,Chongqing,9
289,S59,P3,S59P3,184.2,77.2,0,Undergraduate Degree (UG),1414,FALSE,TRUE,Now You See Me,Chongqing,9
290,S59,P4,S59P4,18,169.7,63.3,Undergraduate Degree (UG),2226,FALSE,FALSE,Farewell to My Concubine,Chongqing,7
291,S59,P5,S59P5,52,174.5,78.2,Undergraduate Degree (UG),523,FALSE,TRUE,The Taking Of Tiger Mountain,Chongqing,10
292,S60,P1,S60P1,19,175.3,64.7,Undergraduate Degree (UG),13,FALSE,TRUE,Soul Catch,Anhui,9
293,S60,P2,S60P2,28,172.8,72.5,Undergraduate Degree (UG),9,TRUE,TRUE,Titanic,Shanghai,8
294,S60,P3,S60P3,39,168.4,65.2,Postgraduate/ Master's Degree (PG),20,FALSE,FALSE,Deep Blue,Anhui,9
295,S60,P4,S60P4,18,163.2,52,Undergraduate Degree (UG),18,TRUE,FALSE,Charlotte's Web,Beijing,9
296,S60,P5,S60P5,46,169.6,76,Postgraduate/ Master's Degree (PG),7,TRUE,TRUE,Investigation Of A Ctizen Above Suspicion,Henan,8
297,S61,P1,S61P1,18,178.52,99.87,Undergraduate Degree (UG),2,FALSE,None,Your Name,Hebei,8
298,S61,P2,S61P2,19,179.93,74.23,Undergraduate Degree (UG),2,TRUE,FALSE,Iron Man,Hunan,8
299,S61,P3,S61P3,44,162.25,62.13,Undergraduate Degree (UG),1,TRUE,TRUE,Avatar,Hebei,10
300,S61,P4,S61P4,19,178.36,74.15,Undergraduate Degree (UG),2,FALSE,FALSE,Interstellar,Shandong,8
301,S61,P5,S61P5,19,192.36,89.25,Undergraduate Degree (UG),2,None,None,Neo morpheus matrix,Jiangsu,8
302,S62,P1,S62P1,23,162.56,55.78,No School,2,TRUE,FALSE,The Battle at Lake Changjin,Shaanxi,7
303,S62,P2,S62P2,33,166,70,Doctorate degree (PhD),4,FALSE,FALSE,Hibiscus Town ,Beijing,9
304,S62,P3,S62P3,0,0,0,None,0,None,None,None,None,None
305,S62,P4,S62P4,2,2,2,No School,2,TRUE,TRUE,3,None,1
306,S63,P1,S63P1,25,183,78,Doctorate degree (PhD),3,FALSE,TRUE,None,Anhui,9
307,S63,P2,S63P2,45,163,57,Undergraduate Degree (UG),1,FALSE,FALSE,The Wandering Earth,Henan,8
308,S63,P3,S63P3,13,156,44,Some School,2,TRUE,TRUE,Avengers,Henan,9
309,S63,P4,S63P4,63,161,66,Some School,1,FALSE,FALSE,None,Henan,9
310,S63,P5,S63P5,19,181,107,High School,2,TRUE,FALSE,Full River Red,Hainan,10
