Index,ContributorID,Contributor_PersonID,PersonID,Age,Height,Weight,EducationLevel,NumberOfLanguages,LikeVollyball,LikeTableTennis,FavouriteMovie,Province,HappinessLevel
28,S6,P3,S6P3,19,182,64,Undergraduate Degree (UG),2,TRUE,TRUE,Les choristes ,Shandong,7
29,S6,P4,S6P4,19,183,60,Undergraduate Degree (UG),3,None,TRUE,The Godfather,Shandong,9
30,S6,P5,S6P5,55,162,70,Postgraduate/ Master's Degree (PG),2,None,TRUE,Green Book,None,10
31,S7,P1,S7P1,20,165.23,47.37,Undergraduate Degree (UG),2,FALSE,FALSE,slam dunk,Sichuan,6
32,S7,P2,S7P2,19,155.34,47.81,Undergraduate Degree (UG),3,FALSE,TRUE,coco,Chongqing,8
33,S7,P3,S7P3,20,154.04,50.21,Undergraduate Degree (UG),3,FALSE,FALSE,Totoro,Sichuan,3
34,S7,P4,S7P4,19,163.13,48.91,Undergraduate Degree (UG),4,FALSE,FALSE,X-Men,Sichuan,7
35,S7,P5,S7P5,46,168.12,60.05,Undergraduate Degree (UG),2,TRUE,TRUE,farewell my concubine,Sichuan,8
36,S8,P1,S8P1,18,170,63,Undergraduate Degree (UG),2,FALSE,FALSE,avengers,Guangdong,9
37,S8,P2,S8P2,18,175,77,Undergraduate Degree (UG),2,TRUE,FALSE,titanic,Guangdong,8
38,S8,P3,S8P3,19,186,82,Undergraduate Degree (UG),3,FALSE,None,truemen's world,Guangdong,10
39,S8,P4,S8P4,20,180,73,Undergraduate Degree (UG),2,None,TRUE,ironmen,Guangdong,7
40,S8,P5,S8P5,18,175,58,Undergraduate Degree (UG),2,FALSE,FALSE,wolf worriors,Guangdong,9
41,S9,P1,S9P1,43,160,52,Undergraduate Degree (UG),2,TRUE,FALSE,Under the Hawthorn Tree,Shandong,8
42,S9,P2,S9P2,19,165,50,High School,2,TRUE,FALSE,The Thirteen Women of Jinling ,Shandong,8
43,S9,P3,S9P3,19,168,62,High School,2,TRUE,TRUE,Dead Poets Society ,Shandong,3
44,S9,P4,S9P4,18,177,64,High School,2,TRUE,FALSE,Spirited Away ,Shandong,8
45,S9,P5,S9P5,18,168,48.5,High School,2,FALSE,FALSE,The Truman Show,Hubei,5
46,S10,P1,S10P1,18,168,47,Undergraduate Degree (UG),2,FALSE,TRUE,The Notebook,Hebei,6
47,S10,P2,S10P2,20,186,75,Undergraduate Degree (UG),2,FALSE,TRUE,Spider Man,Hebei,9
48,S10,P3,S10P3,20,181,61,Undergraduate Degree (UG),2,FALSE,TRUE,Les choristes,Hebei,3
49,S10,P4,S10P4,18,178,64,High School,2,FALSE,TRUE,Les choristes,Hebei,7
50,S10,P5,S10P5,13,160,55,Some School,2,FALSE,TRUE,Les choristes,Hebei,9
51,S11,P1,S11P1,18,176.23,82.5,Undergraduate Degree (UG),3,None,TRUE,interstellar,Guangdong,5
52,S11,P2,S11P2,18,180.92,73.2,Undergraduate Degree (UG),2,FALSE,FALSE,flipped,Guangdong,9
53,S11,P3,S11P3,18,178.5,65.8,Undergraduate Degree (UG),3,None,TRUE,hachiko,Guangdong,10
54,S11,P4,S11P4,46,160.23,58.2,Some School,1,FALSE,FALSE,IP man,Guangdong,7
55,S11,P5,S11P5,52,169.79,78.9,High School,2,FALSE,TRUE,Ip man,Guangdong,8
56,S12,P1,S12P1,45,180,71,Undergraduate Degree (UG),2,None,None,Farewell My Concubine,Hubei,9
57,S12,P2,S12P2,74,176,70,High School,1,None,None,tunnel warefare,Hubei,10
58,S12,P3,S12P3,71,157,48,High School,1,None,None,My Motherland And I,Hubei,10
59,S12,P4,S12P4,19,181,81,Undergraduate Degree (UG),3,FALSE,TRUE,The Shawshank Redemption,Hubei,10
60,S12,P5,S12P5,18,172,65,High School,2,TRUE,None,The Wandering Earth,Hubei,10
61,S13,P1,S13P1,20,187,77,Undergraduate Degree (UG),2,TRUE,FALSE,Dead Poets Society,Hebei,9
62,S13,P2,S13P2,25,178,71,Undergraduate Degree (UG),2,FALSE,TRUE,The Wandering Earth,Shanghai,6
